task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features
multi,2,DT,DBA-style,0.2,0.5987945492662474,0.49880395555257784,0.32573375262054505,0.19264795068801097,0.2730607966457024,0.4353958143767061,0.16333030027297543,0.8959643605870021,6,453
multi,2,DT,FGSM-SNN,0.3,0.5987945492662474,0.49880395555257784,0.3943920335429769,0.2860720630023513,0.2044025157232705,0.3475887170154686,0.21428571428571427,0.8959643605870021,6,453
multi,2,DT,PGD-10-SNN,0.3,0.5987945492662474,0.49880395555257784,0.3718553459119497,0.2649779065943946,0.22693920335429774,0.3680618744313012,0.10555050045495905,0.8959643605870021,6,453
multi,2,DT,PGD-20-SNN,0.3,0.5987945492662474,0.49880395555257784,0.37552410901467503,0.2688807122302014,0.2232704402515724,0.36260236578707916,0.11146496815286625,0.8959643605870021,6,453
multi,2,DT,BBA,0.3,0.5987945492662474,0.49880395555257784,0.32258909853249473,0.19928462052709964,0.2762054507337527,0.43994540491355777,0.15423111919927207,0.8959643605870021,6,453
multi,2,DT,DBA-style,0.3,0.5987945492662474,0.49880395555257784,0.32573375262054505,0.19264795068801097,0.2730607966457024,0.4353958143767061,0.16333030027297543,0.8959643605870021,6,453
multi,2,XGBoost,FGSM-SNN,0.05,0.6137316561844863,0.513407757341877,0.419811320754717,0.31834091462513575,0.19392033542976933,0.30933333333333335,0.0057777777777777775,0.9088050314465409,6,453
multi,2,XGBoost,PGD-10-SNN,0.05,0.6137316561844863,0.513407757341877,0.40435010482180295,0.30696198862620083,0.20938155136268338,0.3408888888888889,0.018222222222222223,0.9088050314465409,6,453
multi,2,XGBoost,PGD-20-SNN,0.05,0.6137316561844863,0.513407757341877,0.4051362683438155,0.307083217294904,0.20859538784067083,0.34,0.016,0.9088050314465409,6,453
multi,2,XGBoost,BBA,0.05,0.6137316561844863,0.513407757341877,0.3529874213836478,0.2397564545127848,0.2607442348008385,0.41555555555555557,0.022222222222222223,0.9088050314465409,6,453
multi,2,XGBoost,DBA-style,0.05,0.6137316561844863,0.513407757341877,0.6037735849056604,0.5037420138801543,0.009958071278825975,0.016,0.0,0.9088050314465409,6,453
multi,2,XGBoost,FGSM-SNN,0.1,0.6137316561844863,0.513407757341877,0.41483228511530396,0.3079921568059999,0.19889937106918237,0.31066666666666665,0.014666666666666666,0.9088050314465409,6,453
multi,2,XGBoost,PGD-10-SNN,0.1,0.6137316561844863,0.513407757341877,0.375,0.27293229252719375,0.23873165618448633,0.38711111111111113,0.044444444444444446,0.9088050314465409,6,453
